id,obvod,kandidat,vek,strana,povolani,bydliste
2,Sokolov ,Balatka Miroslav Ing.,48,STAN,"zeměměřič, živnostník, organizátor, hudebník",Sokolov
2,Sokolov ,Korbel Jiří,49,NK,operátor výroby,Sokolov
2,Sokolov ,Nimrichter Petr,53,SPD,"elektrotechnik, jednatel společnosti",Karlovy Vary
2,Sokolov ,Oulehlová Renata,50,ANO,"místostarostka, zakladatelka DC Střípky a DH Motýl",Sokolov
2,Sokolov ,Picka Jan Bc.,52,ČSSD,starosta města Sokolov,Sokolov
2,Sokolov ,Pochman Stanislav,54,KAN,výrobní dispečer,Chodov
2,Sokolov ,Teplík Jan,66,ČS,horník,Planá
2,Sokolov ,Valjentová Eva Ing.,54,KSČM,"referentka, personalistka",Sokolov
2,Sokolov ,Zickler Josef,62,ŘN - VU,OSVČ,Sokolov
5,Chomutov ,Brand Roman Ing. MBA,54,NK,"starosta, manažer",Spořice
5,Chomutov ,Hahnová Elvíra Bc.,41,SPD,"pěstounka (dlouhodobá péče), ředitelka obecně pr.s",Chomutov
5,Chomutov ,Homolka Václav PaedDr.,63,KSČM,"učitel, senátor",Klášterec nad Ohří
5,Chomutov ,Chodacká Martina MUDr.,54,ANO,primářka onkologie,Jirkov
5,Chomutov ,Jano Petr,58,NK,duchovní učitel,Praha
5,Chomutov ,Krákora Jaroslav MUDr.,62,ČSSD,dětský lékař,Chomutov
5,Chomutov ,Rabas Přemysl MVDr.,55,SEN 21,ředitel zoologické zahrady,Blatno
5,Chomutov ,Staňo Ota MUDr.,61,PRO Zdraví,lékař - ortoped,Chomutov
5,Chomutov ,Zahrádka Jaroslav Mgr.,54,ODS,ředitel gymnázia,Chomutov
8,Rokycany ,Drabík Michal,63,MS Piráti,živnostník,Plzeň 1
8,Rokycany ,Emmerová Milada Doc. MUDr. CSc.,73,ČSSD,senátorka parlamentu ČR,Plzeň
8,Rokycany ,Groene Lucie,49,ANO,"režisérka, scénáristka a novinářka",Praha
8,Rokycany ,Hess Zdeněk MUDr. Ph.D.,45,Piráti,lékař,Drmoul
8,Rokycany ,Chýnovský Zdeněk,54,KSČM,technik,Horní Bříza
8,Rokycany ,Karpíšek Pavel Ing. Mgr.,48,ODS,starosta obce Vejprnice,Vejprnice
8,Rokycany ,Redl David Mgr.,46,SPD,klinický perfuziolog kardiochirurgie FN Plzeň,Hrádek
8,Rokycany ,Uhlíř Martin Ing. MBA,42,TOP 09,marketingový specialista,Praha 10
11,Domažlice ,Janek Michal MUDr.,69,TOP 09,oční lékař,Klatovy
11,Domažlice ,Krutina Viktor Ing.,40,Piráti,projektant,Domažlice
11,Domažlice ,Látka Jan,64,ČSSD,senátor,Domažlice
11,Domažlice ,Obdržálek Milan Ing.,52,SPD,specialista v kovovýrobě,Domažlice
11,Domažlice ,Švarcbek Josef RSDr.,63,KSČM,"hasič, velitel výjezdové jednotky město Planá",Planá
11,Domažlice ,Timura Miroslav Mgr.,59,ČS,právník,Mnichov
11,Domažlice ,Vilímec Vladislav Ing.,55,ODS,náměstek hejtmana Plzeňského kraje,Kdyně
11,Domažlice ,Vokáč Miroslav JUDr.,67,ANO,předseda kontrolního výboru MÚ Domažlice,Domažlice
