id,obvod,kandidat,vek,strana,povolani,bydliste
14,České Budějovice,Faktor Ladislav JUDr.,61,NK,"podnikatel, právník, hudební skladatel",České Budějovice
14,České Budějovice,Jakubcová Sýkorová Blanka MUDr.,63,PRO Zdraví,zubní lékařka,České Budějovice
14,České Budějovice,"Pána Lubomír doc. PhDr. Mgr. Ph.D., dr. h. c.",67,SPD,pedagog,České Budějovice
14,České Budějovice,Paukejová Marie Ing.,63,ČSNS,"sociálně právní poradkyně, ekonomka, předs. spolku",České Budějovice
14,České Budějovice,Procházka Miloslav Ing. CSc.,67,ČSSD,elektrotechnik,České Budějovice
14,České Budějovice,Schötz Richard,52,KSČM,zkušební technik v automobilovém průmyslu,České Budějovice
14,České Budějovice,Šesták Jiří Ph.D.,61,STAN,"senátor Parlamentu ČR, vysokoškolský pedagog",České Budějovice
14,České Budějovice,Tampír Štěpán Ing.,41,Svobodní,ekonom,České Budějovice
17,Praha 12 ,David Ivan MUDr. CSc.,66,SPD,lékař,Praha
17,Praha 12 ,Dobšík František Mgr.,55,ČSSD,předseda Českomoravského odb. svazu prac. školství,Praha
17,Praha 12 ,Fischer Pavel,53,NK,diplomat,Praha
17,Praha 12 ,Gerloch Aleš prof. JUDr. CSc.,63,NK,vysokoškolský profesor,Praha
17,Praha 12 ,Nouza Jiří Ing.,55,HPP,"ekonom, náměstek primátora Prahy 2013-2014",Praha
17,Praha 12 ,Pilný Ivan Ing.,74,ANO,"bývalý ministr financí, podnikatel v IT",Praha
17,Praha 12 ,Semelová Marta Mgr.,58,KSČM,"učitelka, předsedkyně Krajského výboru KSČM Praha",Praha
17,Praha 12 ,Tylová Eva Ing.,58,Piráti,zastupitelka MČ Praha 12,Praha
20,Praha 4 ,Drahoš Jiří prof. Ing. DrSc.,69,STAN,"VŠ pedagog, emeritní předseda AV ČR",Praha
20,Praha 4 ,Dvořák Martin Ing.,58,ODS,organizátor sportovních akcí,Praha
20,Praha 4 ,Kocman Jiří Ing.,63,SPD,manažer rizik Centra pro regionální rozvoj ČR,Praha
20,Praha 4 ,Kuras Benjamin Miloslav,74,REAL,spisovatel,Praha
20,Praha 4 ,Mazáč Rudolf Karel Mgr.,79,Dost je Dost !,"dirigent, režisér, právník",Praha
20,Praha 4 ,Skoupil Karel,65,KSČM,krizový manažer,Praha
20,Praha 4 ,Skovajsová Miroslava MUDr. Ph.D.,61,ČSSD,lékařka,Praha
20,Praha 4 ,Syková Eva prof. MUDr. DrSc.,74,ANO,senátorka,Praha
23,Praha 8 ,Dolejší Hana,71,Patrioti ČR,umělecká vedoucí folklorního souboru Valášek,Praha
23,Praha 8 ,Doubek Jiří JUDr.,71,NáS,podnikatel,Praha
23,Praha 8 ,Dungl Pavel prof. MUDr. DrSc.,70,TOP 09,"lékař, přednosta ortopedie",Praha
23,Praha 8 ,Golas Milan JUDr.,60,ODS,právník,Praha
23,Praha 8 ,Hannig Petr Mgr.,72,Rozumní,"předseda strany, bývalý prezidentský kandidát",Praha
23,Praha 8 ,Haramul Jiří Ing.,64,ANO,starosta - Praha-Březiněves,Praha
23,Praha 8 ,Chovancová Marta JUDr.,60,SSPD-SP,právník,Praha
23,Praha 8 ,Kopal Vladislav,64,KSČM,předseda Kontrolního výboru Zastupitelstva MČ P-8,Praha
23,Praha 8 ,Kula Luděk genmjr. PhDr.,53,SPD,"ředitel bezp.agentury, genmjr.Vězeň.služby ČR-v.v.",Nová Ves
23,Praha 8 ,Malý Michal,62,Svobodní,ředitel společnosti,Praha
23,Praha 8 ,Nosek Josef,51,HPP,Starosta MČ Praha 8 v letech 2000 - 2011,Praha
23,Praha 8 ,Okamura Hayato Mgr.,51,KDU-ČSL,tlumočník a průvodce,Praha
23,Praha 8 ,Petrus Roman,40,ČSSD,starosta MČ Praha 8,Praha
23,Praha 8 ,Vítová Vladimíra PhDr. Ph.D.,55,ASN,předsedkyně Českého mírového fóra,Praha
23,Praha 8 ,Wagenknecht Lukáš Ing.,40,Piráti,"ekonomický analytik, soukromý podnikatel",Pardubice
23,Praha 8 ,Witzany Jiří prof. RNDr. Ph.D.,52,SNK ED,VŠ učitel - matematika a finance,Praha
26,Praha 2 ,Gabal Ivan PhDr.,67,Zelení,sociolog,Praha
26,Praha 2 ,Hilšer Marek MUDr. Bc. Ph.D.,42,MHS,"lékař, vysokoškolský pedagog",Praha
26,Praha 2 ,Hujová Vladislava Ing.,55,HPP,"ekonomka, starostka MČ P-3 v období 2010-2018",Praha
26,Praha 2 ,Jakl Ladislav,58,SPD,publicista,Praha
26,Praha 2 ,Kerekeš Roman MUDr.,49,ANO,lékař - kardiolog,Praha
26,Praha 2 ,Kratina Vladimír,66,ODS,herec,Praha
26,Praha 2 ,Michálek Libor Mgr. MPA,49,Piráti,senátor a ekonom,Chýně
26,Praha 2 ,Roškot Vladimír Ing.,68,KSČM,podnikatel v oblasti obchodu,Praha
26,Praha 2 ,Srb Václav,60,KČ,"průvodce, vinárník, tlumočník",Praha
29,Litoměřice ,Dobeš Josef Mgr.,54,NK,psycholog,Slaný
29,Litoměřice ,Chlupáč Ladislav Mgr.,66,ODS,starosta,Litoměřice
29,Litoměřice ,Jiránek Miroslav MUDr.,61,PRO Zdraví,lékař - kardiolog,Litoměřice
29,Litoměřice ,Novotný František,68,SPD,"stavební technik, jednatel společnosti",Litoměřice
29,Litoměřice ,Rath David MUDr.,52,ČS,lékař,Hostivice
29,Litoměřice ,Šenfeld Josef Ing.,56,KSČM,zemědělský inženýr,Hoštka
29,Litoměřice ,Štěrba Ondřej MUDr.,47,ANO,"lékař, gastroenterolog",Litoměřice
29,Litoměřice ,Uhlík Libor,52,SEN 21,"podnikatel, galerista a pořadatel jarmarků",Úštěk
29,Litoměřice ,Vondrouš Jan,40,NE-VOLIM.CZ,"soukromý podnikatel, lektor cizích jazyků",Bohušovice nad Ohří
32,Teplice ,Barta Josef,67,OČR,ekonom,Dubí
32,Teplice ,Bergman Zdeněk RNDr.,59,SEN 21,ředitel gymnázia a učitel,Teplice
32,Teplice ,"Freimann Eugen Sigismund PhDr. ThDr. Mgr. Ph.D., M.A.",57,Rozumní,vysokoškolský pedagog,Teplice
32,Teplice ,Holovská Terezie PhDr.,55,SPOZ,krizový manažer,Praha 6
32,Teplice ,Kubera Jaroslav,71,ODS,"senátor (místopředseda Senátu PČR), primátor",Teplice
32,Teplice ,Šedlbauer Pavel Ing.,68,TOP 09,manažer,Teplice
32,Teplice ,Vinický Ivan,63,ČSSD,starosta,Bystřany
32,Teplice ,Zahradníček Jan Bc.,42,SPD,vedoucí směny Sboru dobrovolných hasičů,Duchcov
32,Teplice ,Zíka Tomáš,45,KSČM,podnikatel,Dubí
35,Jablonec nad Nisou ,Berounský Jindřich,48,ČSSD,systémový specialista GŘ ČD a.s. Jablonec n. N.,Jablonec nad Nisou
35,Jablonec nad Nisou ,Chuchlík Josef,49,ANO,OSVČ - podnikatel,Libštát
35,Jablonec nad Nisou ,Kalvová Šárka Mgr.,44,KSČM,učitelka základní školy,Ralsko
35,Jablonec nad Nisou ,Švarc Michal Mgr.,46,SPD,strážník MP Rychnov u Jablonce nad Nisou,Jablonec nad Nisou
35,Jablonec nad Nisou ,Tejmlová Michaela Mgr. LL.M.,41,SEN 21,právnička a mediátorka,Jablonec nad Nisou
35,Jablonec nad Nisou ,Zeman Jaroslav,59,ODS,"senátor, starosta obce Albrechtice v Jizerských h.",Albrechtice v Jizerských horách
35,Jablonec nad Nisou ,Žur Pavel Mgr.,52,NBPLK,ředitel Městského divadla Jablonec n. N. o.p.s.,Jablonec nad Nisou
38,Mladá Boleslav ,Horák Ladislav doc. MUDr. DrSc.,68,ČSSD,lékař,Kosmonosy
38,Mladá Boleslav ,Jermář Josef RSDr.,66,KSČM,ekonom,Klášter Hradiště nad Jizerou
38,Mladá Boleslav ,Müller Jiří,59,ANO,ekonom,Kosmonosy
38,Mladá Boleslav ,Nos Josef,69,SPD,"učitel jazyků, spisovatel, skladatel",Kutná Hora
38,Mladá Boleslav ,Nwelati Raduan MUDr.,52,ODS,"primátor Mladé Boleslavi, lékař ortoped",Mladá Boleslav
38,Mladá Boleslav ,Plch Miroslav,65,TOP 09,majitel firmy UNISPO Bezno s.r.o.,Sovínky
38,Mladá Boleslav ,Weissová Daniela,57,Piráti,dramaturgyně a herečka,Turnov
41,Benešov ,Borguľa Jan Ing.,44,KDU-ČSL,technický ředitel rodinné společnosti,Ondřejov
41,Benešov ,Cinka Ivan Mgr.,61,KSČM,"novinář, předseda Výboru pro dopravu Středoč.kraje",Benešov
41,Benešov ,Hemer Aleš Mgr.,51,Soukromníci,živnostník,Praha 9
41,Benešov ,Hraba Zdeněk JUDr. Ing. Ph.D.,43,STAN,"místostarosta Říčan, vysokoškols. pedagog, advokát",Říčany
41,Benešov ,Chaluš Petr Mgr.,45,Piráti,předseda Fóra rodičů,Benešov
41,Benešov ,Kozák Jiří Mgr.,42,ODS,"ředitel vzdělávací organizace, vysokoškols.učitel",Říčany
41,Benešov ,Křeček Miroslav,60,SPD,"živnostník v oblasti auto, moto",Benešov
41,Benešov ,Petržílek Petr JUDr. Ing.(ekon.) Ph.D.,47,ČSSD,právník,Úvaly
41,Benešov ,Radoměřská Terezie Mgr.,49,TOP 09,"překladatelka, spisovatelka",Praha 1
41,Benešov ,Švadlena Jiří Ing.,65,ANO,místostarosta,Benešov
41,Benešov ,Šveda Martin Ing.,51,NK,ředitel IT společnosti,Řehenice
44,Chrudim ,Andrle Sylor Augustin Karel PaedDr. et Mgr.,71,KČ,pedagog,Vysoké Mýto
44,Chrudim ,Blaško Hynek Ing.,63,SPD,generálmajor Armády ČR ve výslužbě,Třebíč
44,Chrudim ,Dubský Tomáš,45,NK,starosta obce Vysočina,Vysočina
44,Chrudim ,Hájek Jaroslav DiS.,49,KSČM,pedagog základní umělecké školy,Třemošnice
44,Chrudim ,Herman Daniel Mgr.,55,KDU-ČSL,politik,Praha
44,Chrudim ,Hynek Jiří RNDr.,57,REAL,prezident Asociace obranného a bezpeč. průmyslu ČR,Jesenice
44,Chrudim ,Krčil Miroslav,43,NK,starosta,Hlinsko
44,Chrudim ,Martinec Vladimír,68,SNK ED,trenér a bývalý hokejový reprezentant,Pardubice
44,Chrudim ,Novák Petr,70,ANO,trenér reprezentace,Svratka
44,Chrudim ,Orgoníková Lucie Ing.,41,ČSSD,kancléřka ČVUT,Přibyslav
44,Chrudim ,Svoboda Pavel MUDr.,48,PRO Zdraví,lékař Zdravotní záchranné služby PK,Ostřešany
44,Chrudim ,Šemík Roman Ing.,56,Piráti,"architekt IT bezp., rodopisec, občanský aktivista",Praha
44,Chrudim ,Tecl Jan Mgr. MBA,55,ODS,starosta města,Havlíčkův Brod
44,Chrudim ,Žďárský Emanuel Mgr. et RNDr. CSc.,61,OL,"VŠ pedagog, klinický DNA genetik, ředitel DNA proj",Hošťalovice
47,Náchod ,"Bělobrádek Pavel MVDr. Ph.D., MPA",41,KDU-ČSL,"veterinární lékař, poslanec",Náchod
47,Náchod ,Brát Miroslav,48,ČSSD,"neuvolněný místostarosta města Náchoda, novinář",Náchod
47,Náchod ,Červíček Martin brig.gen.v.v. Mgr.,46,ODS,1. náměstek hejtmana,Vysokov
47,Náchod ,Koleta Petr,50,ANO,OSVČ - podnikatel,Hronov
47,Náchod ,Marková Soňa Mgr.,55,KSČM,"učitelka, expertka na zdravotnictví",Náchod
47,Náchod ,Pajgerová Andrea,52,SPD,ekonomka,Hradec Králové
50,Svitavy ,Andrle Sylor Richard Mgr. MBA,44,KČ,ekonom,Vysoké Mýto
50,Svitavy ,Fliedr Bohuslav Ing.,60,STAN,"živnostník, novinář, písničkář",Praha
50,Svitavy ,Havíř Pavel MUDr.,63,ČSSD,lékař,Svitavy
50,Svitavy ,Kortyš Michal,56,ODS,náměstek hejtmana Pardubického kraje,Litomyšl
50,Svitavy ,Krátký Jiří,63,Piráti,kapitán námořní plachetnice,Svitavy
50,Svitavy ,Krpálek Josef Ing.,70,SPD,inspektor jaderné bezpečnosti,Herálec
50,Svitavy ,Mňuk Milan,62,KSČM,krajský silniční investor,Osík
50,Svitavy ,Novák Jaroslav,50,Patrioti ČR,spisovatel,Pohledy
50,Svitavy ,Šafář Miroslav MVDr.,56,Rozumní,praktický veterinární lékař,Svitavy
53,Třebíč ,Dobešová Naděžda,53,ČSSD,tajemník TJ,Třebíč
53,Třebíč ,Dudíková Marie Mgr.,62,KDU-ČSL,zástupkyně vedoucí odběrového střediska,Třebíč
53,Třebíč ,"Kotek Vladimír Prim. MUDr. Ph.D., MBA",58,Rozumní,odborný lékař a soudní znalec pro ur. a klin.onk.,Brno
53,Třebíč ,Michálek Miroslav JUDr. LL.M.,58,ANO,notář,Třebíč
53,Třebíč ,Nevoral Marek,42,KSČM,předseda Okresního výboru KSČM Třebíč,Vladislav
53,Třebíč ,Paul Petr JUDr.,69,SPD,"právník, jednatel společnosti",Jihlava
53,Třebíč ,Šalomoun Michal JUDr. MgA. Ph.D.,43,Piráti,advokát,Třebíč
53,Třebíč ,Zíma Stanislav Ing.,54,NK,marketingový ředitel,Praha
53,Třebíč ,Žáková Hana,49,STAN,starostka obce,Koněšín
56,Břeclav ,Koštial Rostislav,57,ODS,"starosta města Mikulov, vinohradník, zemědělec",Mikulov
56,Břeclav ,Nazarčuk Libor,47,ANO,"sommelier, vinař",Břeclav
56,Břeclav ,Novák Richard JUDr.,56,SPD,advokát,Velké Němčice
56,Břeclav ,Štogl Karel Mgr.,45,Piráti,právník,Praha
56,Břeclav ,Tesařík Zdeněk Ing.,52,KSČM,starosta obce Tvrdonice,Tvrdonice
56,Břeclav ,Válka Jaroslav Ing.,56,ČSSD,místostarosta,Břeclav
56,Břeclav ,Zemánek Richard Mgr.,50,KDU-ČSL,učitel,Břeclav
59,Brno-město ,Adamec Emil MgA.,45,KČ,"akademický sochař, krajinný architekt a urbanista",Hong Kong
59,Brno-město ,Balík Stanislav mjr. v. v. PhDr.,49,APAČI 2017,odborný poradce bezpečnostní politiky státu,Častohostice
59,Brno-město ,Bek Mikuláš doc. PhDr. Ph.D.,54,STAN,"rektor Masarykovy univerzity,vysokoškolský pedagog",Brno
59,Brno-město ,Duchoň Oldřich,55,KSČM,jednatel společnosti,Brno
59,Brno-město ,Kosorin Pavel Bc.,54,ČSSD,manažer v neziskovém sektoru,Adamov
59,Brno-město ,Kováč Petr,45,RDS,šéfkuchař,Brno
59,Brno-město ,Ostrý Jaromír Mgr.,64,ANO,ředitel Českého rozhlasu Brno a Zlín,Brno
59,Brno-město ,Schmeidler Karel doc. Ing.arch. PhDr. CSc.,67,SPD,"architekt-urbanista,sociolog,vysokoškolský pedagog",Brno
59,Brno-město ,Špilar Jan Mgr.,54,KDU-ČSL,majitel kadeřnictví Střihoruký Edward,Brno
59,Brno-město ,Trčala Pavel MA,40,"""MZH""",horolezec a majitel sportovní firmy,Brno
59,Brno-město ,Zajícová Lucie,55,Rozumní,podnikatelka,Brno
62,Prostějov ,Blažková Irena,49,ANO,starostka,Vranovice-Kelčice
62,Prostějov ,Böhmová Zuzana,42,KSČM,operátorka výroby,Seloutky
62,Prostějov ,"Dopita Pavel Ing. LL.M., MBA",54,SPD,"vysokoškolský pedagog, IT specialista",Prostějov
62,Prostějov ,Fidrmuc Jaroslav Mgr.,60,KDU-ČSL,výzkumný a vývojový pracovník,Krumsín
62,Prostějov ,Halašová Dagmar Mgr.,44,ODS,učitelka,Doloplazy
62,Prostějov ,Chalánková Jitka MUDr.,61,NK,dětská lékařka,Prostějov
62,Prostějov ,Krchňavý Jan PaedDr.,62,PV,ředitel základní školy,Prostějov
62,Prostějov ,Makový Pavel,54,"""MZH""",majitel pohřební služby,Prostějov
62,Prostějov ,Michek Petr Mgr.,44,Moravané,právník,Prostějov
62,Prostějov ,Obrtel Marek pplk. v.z. MUDr.,51,ČSNS,"lékař - záchranář, zastupitel Rokytnice",Rokytnice
62,Prostějov ,Sekaninová Božena,61,ČSSD,senátorka,Prostějov
65,Šumperk ,Adámek Miroslav Mgr.,45,ANO,ředitel,Vikýřovice
65,Šumperk ,Brož Zdeněk Mgr. Bc.,61,KDU-ČSL,"senátor, starosta",Šumperk
65,Šumperk ,"Galuszková Dana MUDr. Ph.D., MBA",59,ČSSD,primářka transfuzního oddělení FN Olomouc,Šumperk
65,Šumperk ,Hauzner Tomáš Ing.,55,SPD,"SŽDC, s.o.- dozorčí provozu, přednosta ŽST Šumperk",Jeseník
65,Šumperk ,Rulíšek Vladislav Ing.,61,KSČM,"voják z povolání, diplomat, nyní v důchodu",Ruda nad Moravou
65,Šumperk ,Ťulpík Josef Ing.,60,ODS,podnikatel,Bludov
68,Opava ,Běrský Kamil MUDr.,60,SPD,praktický lékař,Opava
68,Opava ,Horáková Simona Mgr.,45,ANO,zástupce ředitele ZŠ,Opava
68,Opava ,Kupka Vlastimil Bc.,60,KSČM,učitel autoškoly,Kyjovice
68,Opava ,Pavera Herbert Mgr.,60,TOP 09,starosta obce Bolatice,Bolatice
68,Opava ,Pavlíček Petr,65,Piráti,zástupce ředitele Mendelova gymnázia v Opavě,Opava
68,Opava ,Tancík Vladimír Mgr.,54,NK,starosta Otic,Otice
68,Opava ,Vícha Josef,68,KDU-ČSL,starosta,Hradec nad Moravicí
71,Ostrava-město,Číp René Ing.,43,KSČM,obchodník v oblasti exportu,Ostrava
71,Ostrava-město,Gondek Ivo Ing.,57,ANO,majitel společnosti,Ostrava
71,Ostrava-město,Konvička Martin doc. Mgr. Ph.D.,48,NEZ,vysokoškolský učitel a vedoucí vědecký pracovník,České Budějovice
71,Ostrava-město,Němečková Crkvenjaš Zdenka MUDr.,42,NK,přednostka Kliniky popáleninové medicíny FNO,Ostrava
71,Ostrava-město,Paroubek Jiří Ing.,66,NK,"ekonom, publicista",Praha
71,Ostrava-město,Sulovský Leopold Ing.,64,Ostravak,"senátor, podnikatel, horolezec",Ostrava
71,Ostrava-město,Štědroň Radoslav RNDr.,63,SSPD-SP,přírodovědec,Ostrava
71,Ostrava-město,Tomášek Martin Mgr. Ph.D.,49,Piráti,vysokoškolský učitel,Ostrava
71,Ostrava-město,Valsamisová Pynelopi Ing. Mgr.,60,SPD,"farmaceutka, jednatelka společnosti",Ostrava
74,Karviná ,Halíková Milada PaedDr.,68,KSČM,"učitelka, politička",Havířov
74,Karviná ,Kabourková Markéta Ing.,44,NK,"ředitelka Ústavu pro výzkum a vzdělávání, z.ú.",Havířov
74,Karviná ,Karch Dušan MUDr.,56,NK,"obvodní lékař, anesteziolog",Havířov
74,Karviná ,Kufa Bohdan MUDr.,52,SPD,lékař,Karviná
74,Karviná ,Matěj Jiří Ing. et Ing. Bc. MBAce,58,ANO,ředitel nemocnice,Šenov
74,Karviná ,Sitko Ladislav Ing.,66,TOP 09,důchodce,Rychvald
74,Karviná ,Světnička Karel Mgr. et Bc.,58,MS Piráti,právník a nezávislý publicista,Havířov
74,Karviná ,Vícha Petr Ing.,55,ČSSD,starosta,Bohumín
77,Vsetín ,Bazalková Dáša,71,KSČM,"původně dělnice,komunální politička,nyní v důchodu",Branky
77,Vsetín ,Čunek Jiří,59,KDU-ČSL,"hejtman Zlínského kraje, senátor PČR",Vsetín
77,Vsetín ,Fojtíček Zbyněk,55,ODS,starosta obce Bystřička,Bystřička
77,Vsetín ,Koňařík Miroslav,60,NK,starosta obce,Velké Karlovice
77,Vsetín ,Kořenek Petr Mgr.,52,ČSSD,ředitel školy,Vsetín
77,Vsetín ,Vraj Radek Ing.,54,SPD,"trenér dostihových koní, zootechnik, živnostník",Vsetín
80,Zlín ,Henner Radek Ing.,54,SPD,voják z povolání v záloze,Rybníček
80,Zlín ,Jordák František Ing.,69,KSČM,autorizovaný stavební inženýr,Luhačovice
80,Zlín ,Juřenčáková Jana Ing.,55,REAL,"daň. poradce,předsedkyně iniciativy za živý venkov",Rokytnice
80,Zlín ,Kovaříková Milena Mgr.,60,ČSSD,pracovnice ochrany přírody a krajiny,Brumov-Bylnice
80,Zlín ,Kunčar Patrik Ing. Bc.,45,KDU-ČSL,"senátor PČR, starosta Uherského Brodu",Uherský Brod
80,Zlín ,Lukáš Libor,56,Soukromníci,manažer,Pitín
80,Zlín ,Popelka Jan doc. RSDr. CSc.,64,SPOZ,starosta obce Hradčovice,Hradčovice
